Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2019-02-17,3577.93,3649.43,3558.27,3632.0,22.98915471,82989.321277446,3609.9335675594
2019-02-18,3631.18,3906.94,3630.6,3865.08,32.90961613,123709.50684799,3759.0686673254
2019-02-19,3868.97,3958.3,3848.2,3885.13,18.59376795,72636.662896471,3906.5058298993
2019-02-20,3893.8,3950.4,3851.59,3936.32,36.1573541,141225.97824411,3905.8714820095
2019-02-21,3925.5,3975.5,3884.3,3894.15,9.52651911,37553.584028571,3942.0047968151
2019-02-22,3898.95,3951.0,3897.8,3951.0,6.39118061,25152.227567038,3935.4587363223
2019-02-23,3945.1,4145.2,3912.7,4114.4,29.31367091,117637.50172059,4013.0593702088
2019-02-24,4111.8,4177.7,3714.59,3737.41,87.99247173,340375.90484698,3868.2389317509
2019-02-25,3740.23,3858.0,3740.23,3835.3,42.08169074,159439.344521,3788.8055759473
2019-02-26,3826.49,3832.9,3774.4,3795.5,23.49952913,89499.42752942,3808.5625900973
2019-02-27,3794.5,3817.1,3681.0,3799.26,34.24890787,128257.20837172,3744.8554230852
2019-02-28,3802.2,3883.6,3772.2,3795.8,54.05773177,206600.17117017,3821.8431370594
2019-03-01,3795.02,3838.28,3774.5,3810.1,10.18265965,38630.21008426,3793.7249610675
2019-03-02,3810.2,3826.67,3773.2,3807.3,14.802464,56442.617384567,3813.0555416022
2019-03-03,3806.66,3826.77,3766.18,3780.03,25.36943362,96420.570410937,3800.6591654819
2019-03-04,3783.57,3814.1,3682.0,3697.38,39.48591615,148680.5344143,3765.4067300729
2019-03-05,3699.69,3864.2,3694.6,3841.4,47.39852546,178060.35863838,3756.6645145669
2019-03-06,3841.4,3880.14,3799.01,3846.81,36.62672155,140673.3440701,3840.72988564
2019-03-07,3845.9,3882.82,3835.4,3850.73,10.01245832,38629.139766119,3858.107422925
2019-03-08,3850.67,3903.8,3798.0,3839.49,25.30216539,97375.715117805,3848.5131061664
2019-03-09,3850.7,3942.14,3850.7,3912.05,15.56936997,60448.394135359,3882.5202466018
2019-03-10,3912.8,3925.84,3874.0,3898.73,12.01144083,46969.326935884,3910.382409625
2019-03-11,3906.72,3917.3,3821.1,3854.3,35.97778115,139256.90922654,3870.6363976685
2019-03-12,3843.0,3874.4,3802.9,3871.4,14.99093428,57741.100314938,3851.7346041582
2019-03-13,3863.4,3870.5,3850.0,3855.0,27.61770833,106677.14720619,3862.6357383286
2019-03-14,3855.0,3895.55,3813.3,3864.4,30.44809107,117231.92176838,3850.2223833628
2019-03-15,3863.45,3959.1,3846.5,3896.96,25.44745984,99433.167060859,3907.3906663393
2019-03-16,3903.3,4018.8,3903.3,3987.88,50.08079896,198724.50646083,3968.077798031
2019-03-17,3987.88,3990.4,3939.27,3969.1,26.55056273,105197.77979849,3962.1676146103
2019-03-18,3965.1,4011.4,3942.2,3979.55,35.62855419,141934.63119568,3983.7325544779
2019-03-19,3966.2,4005.56,3961.36,3998.11,23.2281254,92467.396359611,3980.8376598316
2019-03-20,3998.58,4058.4,3969.9,4034.9,33.24368886,133274.14836679,4009.0060079689
